These are the results for a poplation of size 1000 who 20 times have jumped 10 generations.
For each generation, 1000 PMX operations create as many offspring as parents.
After each 1000 PMX operation, an elitist filter is applied to keep the population static and only the best solutions available. 
The sequences are printed to terminal since I'm having trouble writing them to file.
path lengths    sequences: 
  11651.64        2385476901
  11651.64        5874610329
  11661.23        4269105837
  11661.24        9274018653
  11663.76        6083719425
  11665.17        7062351984
  11666.31        2587914036
  11668.05        6957018432
  11670.46        8654910372
  11674.57        9806237451
  11674.75        6549318270
  11677.62        2408613759
  11678.75        8169235407
  11679.01        2035461879
  11680.54        5762431980
  11682.99        6927058134
  11685.60        2431698705
  11687.45        1403685729
  11688.05        4508639271
  11692.26        5478620913
  11694.49        2359086471
  11697.10        2369514708
  11699.58        9615024738
  11701.45        6927013584
  11706.03        1583406297
  11708.66        0129456837
  11712.37        9201538746
  11712.37        4832170569
  11720.98        6837210459
  11723.64        2053967814
  11725.65        6421035798
  11728.64        4976528310
  11729.35        4061925837
  11731.12        6280457193
  11731.64        1428735906
  11732.58        9704213568
  11734.63        4293657081
  11734.82        3806297451
  11742.65        2587196034
  11743.83        2987436051
  11744.80        4328651079
  11744.80        8243679501
  11745.83        9682307154
  11745.83        9820736514
  11745.83        6583012974
  11746.67        8670431592
  11746.67        8627504931
  11746.82        6201498573
  11747.58        3017624859
  11747.58        2367958401
  11748.53        0761359428
  11750.99        8960214375
  11751.16        3185069742
  11751.16        8305791462
  11752.41        8547236190
  11755.25        4387261590
  11758.71        4650723918
  11758.71        7812059463
  11758.71        4137269580
  11759.13        2314650987
  11760.54        2863019457
  11760.83        9106237845
  11760.91        6317294508
  11761.17        0341896275
  11762.10        3182507694
  11766.20        4063529178
  11767.42        0346192875
  11770.02        9625037148
  11773.70        5782164930
  11782.02        0347619528
  11784.66        2395874016
  11785.35        9841720356
  11791.32        2873019456
  11792.15        8194230576
  11797.95        7213956084
  11798.11        5706821394
  11799.94        6351897042
  11800.18        2651430789
  11800.49        0321476598
  11800.49        2853049176
  11801.44        4976528310
  11803.09        6843719052
  11803.13        6401798235
  11803.13        2861794503
  11803.13        0129456837
  11803.74        1460985723
  11810.03        7830952461
  11813.13        0941736528
  11817.67        7823901546
  11819.69        0329756814
  11821.76        8014539762
  11823.11        7315864209
  11823.20        2187659043
  11823.20        5826713049
  11824.85        8154037296
  11826.25        6840351927
  11826.93        4872619305
  11827.14        4386210975
  11828.19        7430856912
  11833.86        2149658307
  11833.86        6409812375
  11834.20        4357926081
  11840.17        8273945016
  11844.57        5237864910
  11844.98        7850269314
  11845.49        1038794625
  11845.96        4295167830
  11846.31        4650723918
  11846.51        8134069527
  11848.09        4519362780
  11848.09        4395816207
  11849.99        9058716234
  11852.69        4623891570
  11853.34        0145769382
  11854.62        7013426598
  11855.72        4798013562
  11858.99        5362071984
  11862.07        9274018653
  11863.72        6041389752
  11867.62        9137286450
  11867.62        3174526890
  11870.35        8502694731
  11872.43        2190836457
  11874.18        2593784160
  11874.18        5168397024
  11874.18        3648195270
  11874.18        8657234901
  11874.18        4518362709
  11874.18        7834259601
  11874.18        7834259601
  11876.09        0751498326
  11878.16        7149350862
  11878.16        6045791382
  11878.44        3948126075
  11880.30        1470298635
  11882.39        1428735906
  11882.59        6837019452
  11884.67        7231894056
  11886.13        2849057361
  11890.45        2073564198
  11893.78        9507634821
  11905.26        2847306951
